CORSA ,,,289,291,149,407,101,409,103,419,105,405,107,473,109,159,113,193,111,195,131,177,123,413,429,415,425,127,129,481,417,191,161,477,135,153,137,139,141,143,145,147,151,
CADENZA,,,FR5,FR5,FR5,SC5,FR5,SC5,FR5,SC5,FR5,SC5,FR5,SC5,FR5,FR5,FR5,FR5,FR5,FR5,FR5,FR5,FR5,SC5,SC5,SC5,SC5,FR5,FR5,SC5,SC5,FR5,FR5,SC5,FR5,FR5,FR5,FR5,FR5,FR5,FR5,FR5,FR5,
AC128,ARCONATE,V.Beata Vergine a.V.Dei Tigli,05:45,06:08,06:28,06:43,07:08,07:26,07:45,07:48,08:15,,08:46,,09:15,09:45,10:15,10:43,11:13,0,0,12:43,13:15,13:50,13:54,13:55,13:59,14:15,14:50,0,15:06,15:15,15:40,0,16:13,0,17:13,18:15,18:45,19:15,0,20:12,0,
IN128,INVERUNO,V.Varese ang.V.Don Paganini,05:48,06:11,06:31,06:48,07:11,07:29,07:49,07:51,08:19,,08:50,,09:19,09:49,10:19,10:46,11:16,0,0,12:46,13:19,13:54,13:58,13:59,14:03,14:19,14:54,0,15:10,15:19,15:44,0,16:16,0,17:16,18:19,18:49,19:19,0,20:15,0,
IN351,INVERUNO,Via Lombardia fr Civ.7 IPSIA,05:51,06:14,06:34,06:50,07:14,07:32,07:52,07:54,08:22,,08:53,,09:22,09:52,10:22,10:49,11:19,0,0,12:49,13:22,13:57,14:01,14:02,14:06,14:22,14:57,0,15:13,15:22,15:47,0,16:19,0,17:19,18:22,18:52,19:22,0,20:18,0,
IN235,INVERUNO,V.le Lombardia (ang.v.Magenta),05:52,06:15,06:35,06:51,07:15,07:33,07:54,07:55,08:24,,08:55,,09:24,09:54,10:24,10:50,11:20,0,0,12:50,13:24,13:59,14:03,14:04,14:08,14:24,14:59,0,15:15,15:24,15:49,0,16:20,0,17:20,18:24,18:54,19:24,0,20:19,0,
IN801,INVERUNO,Via Einaudi fr.civ.2,05:53,06:16,06:36,06:53,07:17,07:35,07:56,07:57,08:26,,08:57,,09:26,09:56,10:26,10:52,11:22,0,0,12:52,13:26,14:01,14:05,14:06,14:10,14:26,15:01,0,15:17,15:26,15:51,0,16:22,0,17:22,18:26,18:56,19:26,0,20:20,0,
IN403,INVERUNO,Via Marconi fr Civ.65,05:54,06:17,06:37,06:54,07:18,07:36,07:57,07:58,08:27,,08:58,,09:27,09:57,10:27,10:53,11:23,0,0,12:53,13:27,14:02,14:06,14:07,14:11,14:27,15:02,0,15:18,15:27,15:52,0,16:23,0,17:23,18:27,18:57,19:27,0,20:21,0,
CG250,CUGGIONO,Via Garibaldi Fr Civ 32,05:57,06:20,06:40,06:58,07:21,07:40,08:01,08:02,08:31,,09:02,,09:30,10:00,10:30,10:57,11:27,0,0,12:57,13:30,14:05,14:09,14:10,14:14,14:30,15:05,0,15:21,15:30,15:55,0,16:27,0,17:27,18:30,19:00,19:30,0,20:24,0,
CG143,CUGGIONO,Piazza Della Vittoria fr Civ. 12,05:59,06:22,06:42,07:00,07:23,07:42,08:03,08:04,08:33,,09:04,,09:32,10:02,10:32,10:59,11:29,0,0,12:59,13:32,14:07,14:11,14:12,14:16,14:32,15:07,0,15:23,15:32,15:57,0,16:29,0,17:29,18:32,19:02,19:32,0,20:26,0,
CG178,CUGGIONO,Via Manzoni n. 1,,,,07:02,,07:44,,08:06,,,,,,,,,0,0,0,0,0,14:08,14:12,0,0,0,0,0,0,0,0,0,,,,,,,,,,
CG998,CUGGIONO,V.IV Novembre dopo v.XI Sett.,,,,07:03,,07:46,,08:08,,,,,,,,,0,0,0,0,0,14:10,14:14,0,0,0,0,0,0,0,0,0,,,,,,,,,,
BC250,BUSCATE,Via Milano n.19 ang.V.P.Micca,,,,07:07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BC801,BUSCATE,S.P.34 Civ.28,,,,07:08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CT011,Castano P.,P.le Don Milani OMN.IST.TORNO,,,,,,07:56,,08:16,,,,,,,,,0,0,0,0,0,14:14,14:17,0,0,0,0,0,0,0,0,0,,,,,,,,,,
CT021,Castano P.,Per Buscate/Saverio Nitti,,,,07:09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CT110,Castano P.,Piazza Garibaldi,,,,07:12,,08:01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CT100,Castano P.,AUSTOSTAZIONE bus - STAZIONE Ferroviaria,,,,07:14,,08:05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
