CORSA CADENZA,,,,102,104,106,108,110,112,202,114,204,116,206,118,208,120,210,122,124,126,128,130,216,132,134,136,138,140,142,144,146,148,212,150,214,152,192,154,194,156,196,158,160,162,164,166,198,168,170,172,174,176,178,180,182,184,188,190,
,,,,FR5,FR5,FR5,FR5,FR5,FR5,FR5,FR5,FR5,FR5,FR5,FR5,FR5,FR5,FR5,FR5,FR5,FR5,FR5,FR5,FR5,FR5,FR5,FR5,FR5,FR5,FR5,FR5,FR5,FR5,SC5,FR5,SC5,FR5,SC5,FR5,SC5,FR5,SC5,FR5,FR5,FR5,FR5,FR5,FR5,FR5,FR5,FR5,FR5,FR5,FR5,FR5,FR5,FR5,FR5,FR5,
PG031,,Pregnana,V.Roma ang. v. Carducci,05:38,05:55,06:08,06:23,06:39,06:49,06:54,06:59,07:04,07:09,07:16,07:20,07:25,07:30,07:35,07:41,07:51,08:01,08:11,08:21,08:30,08:46,09:05,09:25,09:43,10:08,10:38,11:08,11:38,12:08,12:24,12:38,12:54,13:08,13:27,13:38,13:57,14:08,14:29,14:38,15:08,15:33,15:58,16:18,16:38,16:58,17:17,17:41,17:54,18:11,18:24,18:41,19:04,19:29,20:12,20:52,
PG005,,Pregnana,Via ROMA ang.v.OLIVETTI,05:39,05:56,06:09,06:24,06:40,06:50,06:55,07:00,07:05,07:10,07:17,07:21,07:26,07:31,07:36,07:42,07:52,08:02,08:12,08:22,08:31,08:47,09:06,09:26,09:44,10:09,10:39,11:09,11:39,12:09,12:25,12:39,12:55,13:09,13:28,13:39,13:58,14:09,14:30,14:39,15:09,15:34,15:59,16:19,16:39,16:59,17:18,17:42,17:55,18:12,18:25,18:42,19:05,19:30,20:13,20:53,
CD150,,CORNAREDO,Via San Carlo ang.V.A.Ponti,05:43,06:00,06:13,06:28,06:44,06:54,06:59,07:04,07:09,07:15,07:22,07:27,07:32,07:37,07:42,07:48,07:58,08:08,08:18,08:28,08:36,08:53,09:12,09:31,09:50,10:15,10:45,11:15,11:45,12:15,12:29,12:45,12:59,13:15,13:33,13:45,14:03,14:15,14:36,14:45,15:15,15:40,16:05,16:25,16:45,17:05,17:23,17:47,18:00,18:17,18:30,18:47,19:10,19:35,20:18,20:58,
CD160,,CORNAREDO,Via Mazzini ang.V.Brera,05:44,06:01,06:14,06:29,06:46,06:56,07:01,07:06,07:11,07:17,07:24,07:29,07:34,07:39,07:44,07:50,08:00,08:10,08:20,08:30,08:38,08:55,09:14,09:33,09:52,10:17,10:47,11:17,11:47,12:17,12:31,12:47,13:01,13:17,13:35,13:47,14:05,14:17,14:38,14:47,15:17,15:42,16:07,16:27,16:47,17:07,17:25,17:49,18:02,18:19,18:32,18:49,19:12,19:37,20:19,20:59,
VH237,,VIGHIGNOLO,Via Mereghetti n. 22,05:47,06:04,06:17,06:32,06:49,06:59,07:04,07:09,07:14,07:20,07:27,07:32,07:37,07:42,07:47,07:53,08:03,08:13,08:23,08:33,08:41,08:58,09:17,09:36,09:55,10:20,10:50,11:20,11:50,12:20,12:34,12:50,13:04,13:20,13:38,13:50,14:08,14:20,14:41,14:50,15:20,15:45,16:10,16:30,16:50,17:10,17:28,17:52,18:05,18:22,18:35,18:52,19:15,19:40,20:22,21:02,
,MD111,MILANO,MM MOLINO DORINO ARRIVO,05:53,06:10,06:23,06:38,06:56,07:06,07:11,07:17,07:21,07:28,07:34,07:41,07:46,07:51,07:56,08:03,08:13,08:23,08:33,08:43,08:51,09:07,09:26,09:44,10:02,10:27,10:57,11:27,11:57,12:27,12:42,12:57,13:12,13:27,13:45,13:57,14:15,14:27,14:48,14:57,15:27,15:52,16:17,16:37,16:57,17:17,17:35,18:00,18:13,18:30,18:43,19:00,19:22,19:46,20:27,21:07,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
