CORSA ,,,102,410,104,490,106,108,402,406,404,110,408,112,926,426,114,116,118,192,122,196,120,482,488,130,492,132,412,134,136,414,138,416,414,140,142,144,146,148,150,152,290,156,
CADENZA,,,FR5,SC5,FR5,SC5,FR5,FR5,SC5,SC5,SC5,FR5,SC5,FR5,SC5,SC5,FR5,FR5,FR5,FR5,FR5,FR5,FR5,SC5,SC5,FR5,SC5,FR5,SC5,FR5,FR5,SC5,FR5,SC5,SC5,FR5,FR5,FR5,FR5,FR5,FR5,FR5,FR5,FR5,
SG801,S.Giorgio,V.Boccaccio ang.V.Magenta,06:03,06:23,06:37,06:52,07:06,07:26,07:28,07:31,07:35,08:09,,08:45,,,09:15,09:45,10:14,10:44,11:14,11:44,12:14,12:49,12:56,13:10,13:43,13:45,14:12,14:15,14:40,15:14,15:15,0,15:14,15:50,16:15,17:15,17:42,18:15,18:37,19:15,19:45,0,
SG050,S.Giorgio,Via Restelli Civ. 5,06:04,06:24,06:38,06:54,07:07,07:27,07:29,07:34,07:37,08:10,,08:47,,,09:17,09:47,10:16,10:46,11:16,11:46,12:16,12:51,12:58,13:12,13:45,13:47,14:13,14:17,14:42,15:15,15:17,0,15:15,15:52,16:17,17:17,17:43,18:17,18:38,19:17,19:47,0,
LG112,LEGNANO,V.Guerciotti a.V.Gorizia LICEO,,,,,,,07:39,07:43,07:47,,,,,,,,0,0,0,0,0,0,13:07,0,0,0,14:18,0,0,0,0,0,0,,,,,,,,,,
LG611,LEGNANO,V.XX Settembre a.V.S.Bernardino,06:08,06:28,06:42,06:58,07:11,07:32,,,,08:15,,08:52,,,09:22,09:52,10:20,10:50,11:20,11:50,12:20,12:55,0,13:17,13:50,13:52,0,14:22,14:47,15:19,15:22,0,15:19,15:57,16:22,17:22,17:48,18:22,18:43,19:22,19:52,0,
LG508,LEGNANO,Via Milano a.v.S.Caterina,,,,,,,07:42,07:47,07:50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LG805,LEGNANO,V.XX Settembre civ.7 (poste),06:09,06:30,06:44,06:59,07:14,07:35,,,,08:18,,08:54,,,09:24,09:54,10:22,10:52,11:22,11:52,12:22,12:57,0,13:19,13:52,13:54,0,14:24,14:49,15:21,15:24,0,15:21,15:59,16:24,17:24,17:50,18:25,18:45,19:24,19:54,0,
LG090,LEGNANO,Piazza del Popolo FS,06:11,06:31,06:45,07:01,07:15,07:38,,,,08:20,,08:56,,,09:26,09:56,10:24,10:54,11:24,11:54,12:24,12:59,0,13:21,13:54,13:56,0,14:26,14:51,15:23,15:26,0,15:23,16:01,16:26,17:26,17:53,18:27,18:48,19:26,19:56,0,
LG003,LEGNANO,Largo Tosi (lato banca),06:15,06:35,06:49,07:05,07:19,07:44,,,,08:26,,09:00,,,09:30,10:01,10:28,10:58,11:28,11:58,12:28,13:03,0,13:26,13:59,14:01,0,14:31,14:56,15:26,15:31,0,15:26,16:06,16:31,17:31,17:59,18:33,18:54,19:31,20:01,0,
LG002,LEGNANO,C.so Sempione Loc Madonnina,06:17,06:37,06:51,,07:21,07:47,,,,,,,,,,,0,0,0,0,0,13:05,0,0,14:01,0,0,0,0,0,0,0,0,,,,,,,,,,
LG001,LEGNANO,C.so Sempione OSPEDALE VECCHIO,06:19,06:39,06:53,,07:23,07:49,07:46,07:52,07:54,,,,,,,,0,0,0,0,0,13:07,0,0,14:03,0,0,0,0,0,0,0,0,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
